hour_range,length_of_stay,parking_time,parking_distance
8:00-11:00,30,5,250
8:00-11:00,60,6,350
8:00-11:00,90,6,627
8:00-11:00,120,8,642
8:00-11:00,150,10,650
8:00-11:00,180,11,650
8:00-11:00,210,15,650
8:00-11:00,240,17,650
11:00-15:00,30,3,200
11:00-15:00,60,5,400
11:00-15:00,90,6,476
11:00-15:00,120,6,476
11:00-15:00,150,7,504
11:00-15:00,180,8,504
11:00-15:00,210,11,550
11:00-15:00,240,13,580
15:00-19:00,30,7,463
15:00-19:00,60,8,604
15:00-19:00,90,8,604
15:00-19:00,120,9,627
15:00-19:00,150,12,600
15:00-19:00,180,15,610
15:00-19:00,210,15,650
15:00-19:00,240,18,680
