marker_id,maximum_stay,cost_per_hour
4497W,30,540
4457W,30,540
4461W,30,540
4499W,30,540
4453W,30,540
4459W,30,540
4451W,30,540
4455W,30,540
4465W,30,540
4463W,30,540
4464E,30,540
4456E,30,540
4462E,30,540
4466E,30,540
4460E,30,540
4458E,30,540
4450E,30,540
4468E,30,540
3410N,120,550
3414N,120,550
3416N,120,550
3408N,120,550
3406N,120,550
3412N,120,550
3403S,120,550
3424N,120,550
3422N,120,550
3420N,120,550
3413S,120,550
3390N,120,550
3388N,120,550
3409S,120,550
3396N,120,550
3415S,120,550
3398N,120,550
3407S,120,550
3417S,120,550
3394N,120,550
3411S,120,550
3402N,120,550
3428N,120,550
3400N,120,550
3426N,120,550
3405S,120,550
3392N,120,550
14002E,60,320
14016E,60,320
14002E,60,320
14014E,60,320
14000E,60,320
14012E,60,320
14004E,60,320
14006E,60,320
14010E,60,320
11812E,60,320
11840E,60,320
11818E,60,320
11816E,60,320
11828E,60,320
11802E,60,320
11820E,60,320
11808E,60,320
11800E,60,320
11826E,60,320
11834E,60,320
11836E,60,320
11822E,60,320
11806E,60,320
11832E,60,320
11804E,60,320
11810E,60,320
11830E,60,320
11814E,60,320
11842E,60,320
11824E,60,320
11838E,60,320
698E,30,540
681W,30,540
682E,30,540
669W,30,540
671W,30,540
673W,30,540
675W,30,540
694E,30,540
677W,30,540
686E,30,540
679W,30,540
690E,30,540
C692,30,540
C680,30,540
C670,30,540
C672,30,540
683W,30,540
C696,30,540
C660,30,540
C676,30,540
C662,30,540
C658,30,540
C674,30,540
C700,30,540
C688,30,540
C666,30,540
C664,30,540
C684,30,540
C668,30,540
13633W,120,320
13641W,120,320
13644E,120,320
13631W,120,320
13635W,120,320
13637W,120,320
13636E,120,320
13629W,120,320
13638E,120,320
13640E,120,320
13639W,120,320
13642E,120,320
5998N,60,550
5992N,60,550
5988N,60,550
5994N,60,550
5990N,60,550
5996N,60,550
6013S,60,550
6011S,60,550
6000N,60,550
6015S,60,550
6019S,60,550
2579S,60,550
2581S,60,550
2563S,60,550
