,bay_id,the_geom,marker_id,meter_id,last_edit,rd_seg_id,rd_seg_dsc,mean_lat,mean_long,location
0,1031,"MULTIPOLYGON (((144.970916710953 -37.800220315911, 144.970931700793 -37.800237191025, 144.970871817124 -37.800270550892, 144.970857165093 -37.800253865433, 144.970916710953 -37.800220315911)))",,,20201223122240.0,20677.0,Barkly Street between Canning Street and Rathdowne Street,-37.8002404478344,144.9708988209832,"(-37.8002404478344, 144.9708988209832)"
1,690,"MULTIPOLYGON (((144.974306181408 -37.795060693505, 144.974309792011 -37.79503939404, 144.974364250709 -37.795046146967, 144.974361145267 -37.795063671068, 144.974360520142 -37.795067431754, 144.974306181408 -37.795060693505)))",,,20201223122239.0,20877.0,Station Street between Kay Street and Princes Street,-37.79505633847317,144.97433467849083,"(-37.79505633847317, 144.97433467849083)"
2,4617,"MULTIPOLYGON (((144.947206945308 -37.801436012479, 144.947215130413 -37.801388519935, 144.947244609474 -37.801391897742, 144.94723643126 -37.801439347151, 144.947206945308 -37.801436012479)))",,,20201223122246.0,21063.0,Baillie Street between Curzon Street and Abbotsford Street,-37.8014183579572,144.9472220123526,"(-37.8014183579572, 144.9472220123526)"
3,8456,"MULTIPOLYGON (((144.944082004459 -37.802545512221, 144.94401079603 -37.802537668791, 144.944014946546 -37.802513940331, 144.944086156088 -37.802521783777, 144.944082004459 -37.802545512221)))",,,20201223122253.0,21035.0,Queensberry Street between Lothian Street and Dryburgh Street,-37.8025328834682,144.9440551815164,"(-37.8025328834682, 144.9440551815164)"
4,7900,"MULTIPOLYGON (((144.947997379327 -37.804316311648, 144.948006965037 -37.804262038702, 144.948033615685 -37.804265100288, 144.948024007441 -37.804319449444, 144.947997379327 -37.804316311648)))",,,20201208140640.0,20996.0,Curzon Street between Victoria Street and Elm Street,-37.804295842346,144.9480118693634,"(-37.804295842346, 144.9480118693634)"
5,6181,"MULTIPOLYGON (((144.948538766832 -37.797934211073, 144.948621371944 -37.79793308889, 144.948639330204 -37.797947433021, 144.948557258984 -37.797949043041, 144.948538766832 -37.797934211073)))",,,20201223122249.0,21192.0,Molesworth Street between Harker Street and Abbotsford Street,-37.7979395974196,144.94857909895921,"(-37.7979395974196, 144.94857909895921)"
6,3724,"MULTIPOLYGON (((144.919819993991 -37.794310938018, 144.919837838306 -37.794330610394, 144.919794699171 -37.794354206187, 144.919777851301 -37.794335690488, 144.919819993991 -37.794310938018)))",,,20201223122245.0,,,-37.794328476621004,144.91981007535202,"(-37.794328476621004, 144.91981007535202)"
7,4347,"MULTIPOLYGON (((144.988114486982 -37.821122964613, 144.988071828508 -37.821157335686, 144.988052140646 -37.82114181441, 144.988095021524 -37.821107494907, 144.988114486982 -37.821122964613)))",,,20201223122246.0,,,-37.8211305148458,144.9880895929284,"(-37.8211305148458, 144.9880895929284)"
8,6255,"MULTIPOLYGON (((144.944478130725 -37.808216855428, 144.944491944175 -37.808197673554, 144.944546662391 -37.808221604138, 144.944533365155 -37.808241053666, 144.944478130725 -37.808216855428)))",,,20201223122249.0,21450.0,Adderley Street between Hawke Street and Abbotsford Street,-37.8082188084428,144.9445056466342,"(-37.8082188084428, 144.9445056466342)"
9,6465,"MULTIPOLYGON (((144.979906040371 -37.833323899995, 144.979897736109 -37.833323088831, 144.979851971657 -37.833317798576, 144.979839255448 -37.833316109655, 144.979844963079 -37.83329273197, 144.9799098898 -37.833301537588, 144.979906040371 -37.833323899995)))",,,20201223122249.0,22706.0,Birdwood Avenue between Dallas Brooks Drive and Domain Road,-37.83331415237286,144.97987941383357,"(-37.83331415237286, 144.97987941383357)"
10,869,"MULTIPOLYGON (((144.974322801785 -37.79594839737, 144.974296488882 -37.795945717051, 144.974305509798 -37.79589332262, 144.974331817777 -37.795896057823, 144.974322801785 -37.79594839737)))",,,20201223122239.0,20595.0,Station Street between Palmerston Street and Kay Street,-37.7959263784468,144.9743158840054,"(-37.7959263784468, 144.9743158840054)"
11,2691,"MULTIPOLYGON (((144.946759802955 -37.77650464769, 144.946756342549 -37.776526306673, 144.946688727841 -37.77651810962, 144.946691848617 -37.776496333874, 144.946694039419 -37.776496596458, 144.946758189465 -37.776504447439, 144.946759802955 -37.77650464769)))",,,20201223122242.0,22398.0,Park Street between Oak Street and West Coburg Tramway,-37.776507298492,144.94672982197156,"(-37.776507298492, 144.94672982197156)"
12,4611,"MULTIPOLYGON (((144.939277863248 -37.797549454113, 144.939307642533 -37.797576613933, 144.939222166811 -37.797573852957, 144.93919235237 -37.7975466925, 144.939277863248 -37.797549454113)))",,,20201223122246.0,21293.0,Henderson Street between Fogarty Street and Gracie Street,-37.7975592135232,144.939255577642,"(-37.7975592135232, 144.939255577642)"
13,595,"MULTIPOLYGON (((144.975383830644 -37.794362809155, 144.975360089936 -37.794360066059, 144.975368947819 -37.794308282424, 144.975392596838 -37.794311014029, 144.975383830644 -37.794362809155)))",,,20201223122239.0,20884.0,Nicholson Street between Kay Street and Princes Street,-37.794340996164394,144.9753778591762,"(-37.794340996164394, 144.9753778591762)"
14,4613,"MULTIPOLYGON (((144.943975169655 -37.807348586181, 144.94402975299 -37.80737215057, 144.944014053265 -37.807394638308, 144.943959524427 -37.80737103341, 144.943975169655 -37.807348586181)))",,,20201223122246.0,21452.0,Abbotsford Street between Adderley Street and Ireland Street,-37.80736699893,144.94399073399842,"(-37.80736699893, 144.94399073399842)"
15,1297,"MULTIPOLYGON (((144.971809887801 -37.796459098192, 144.971813218607 -37.796440085697, 144.971818328167 -37.796440619778, 144.971878649441 -37.796447227004, 144.971880413699 -37.796447829636, 144.971881525178 -37.796448465184, 144.971882434857 -37.796449793869, 144.971882704122 -37.796451201642, 144.971882968834 -37.796452858964, 144.971882891069 -37.796454830307, 144.971882902049 -37.796456961785, 144.971883017057 -37.796459940361, 144.971883158283 -37.796460465477, 144.971884661908 -37.796463870795, 144.971885023077 -37.796464326703, 144.971887993795 -37.796467158002, 144.971889285133 -37.796468068804, 144.971887162156 -37.796467668166, 144.971809887801 -37.796459098192)))",,,20201223122240.0,20780.0,Palmerston Street between Canning Street and Rathdowne Street,-37.79645576676621,144.97186874279123,"(-37.79645576676621, 144.97186874279123)"
16,1535,"MULTIPOLYGON (((144.971560966707 -37.796297480384, 144.971622415545 -37.796304046782, 144.97161916732 -37.796323152614, 144.971557547167 -37.796316164215, 144.971560966707 -37.796297480384)))",,,20201223122240.0,20780.0,Palmerston Street between Canning Street and Rathdowne Street,-37.7963076648758,144.97158421268918,"(-37.7963076648758, 144.97158421268918)"
17,6087,"MULTIPOLYGON (((144.988189964838 -37.820965804606, 144.988211091512 -37.820982392205, 144.988168784145 -37.821016389017, 144.988149028378 -37.821000524149, 144.988148071112 -37.820999755309, 144.988149957777 -37.820999432482, 144.988151960307 -37.820998189729, 144.988189093451 -37.820968274266, 144.98819001793 -37.820967154577, 144.988189964838 -37.820965804606)))",,,20201223122249.0,,,-37.820986372094595,144.9881737934288,"(-37.820986372094595, 144.9881737934288)"
18,6173,"MULTIPOLYGON (((144.975040273407 -37.80956025046, 144.975106748298 -37.809567528805, 144.975103230079 -37.809589205623, 144.975036076245 -37.809581748882, 144.975040273407 -37.80956025046)))",12247S,VS5,20201223122249.0,20889.0,Albert Street between Nicholson Street and Gisborne Street,-37.809571796846,144.9750653202872,"(-37.809571796846, 144.9750653202872)"
19,3283,"MULTIPOLYGON (((144.951598829595 -37.803378452497, 144.951602754249 -37.803357962246, 144.951665102436 -37.80336488098, 144.951661594714 -37.803385532587, 144.951598829595 -37.803378452497)))",,,20201223122244.0,20974.0,Queensberry Street between Chetwynd Street and Leveson Street,-37.8033730561614,144.95162542211781,"(-37.8033730561614, 144.95162542211781)"
20,6559,"MULTIPOLYGON (((144.920838049458 -37.821310608531, 144.920822809263 -37.821261226597, 144.920845502479 -37.821257033182, 144.920860704659 -37.82130647482, 144.920838049458 -37.821310608531)))",,,20201223122249.0,22159.0,Salmon Street between Turner Street and Lorimer Street,-37.8212891903322,144.92084102306342,"(-37.8212891903322, 144.92084102306342)"
21,4345,"MULTIPOLYGON (((144.944185304828 -37.783950314066, 144.944181057565 -37.783972092576, 144.944180537701 -37.783974216588, 144.944123702691 -37.783966544095, 144.944127814272 -37.783946999039, 144.944127819411 -37.7839469775, 144.94412782339 -37.783946956843, 144.944127826259 -37.783946935265, 144.944128478735 -37.783942976067, 144.944185304828 -37.783950314066)))",,,20201223122246.0,,,-37.7839544326105,144.944149566968,"(-37.7839544326105, 144.944149566968)"
